0001	14810	21071	(F えー)沢山の数学者や、{コンピューター|こんぴゅーたー|こーんびゅーたー}サイエンティストと話を{する||しる}んですが、
0002	22160	26450	(F えー)(F このー)マシーンインテリジェンスの将来、どうなのかと言う様な話をします。
0003	27655	29873	これをサイエンスフィクションだと言う人もいます。
0004	30560	32346	(F え)クレイジーだって言う人もいるんです。
0005	32643	33450	でも私は、
0006	35761	36901	(F え)(F このー)
0007	37951	39960	現代の人間の状態と言うのを見てみましょう。
0008	40369	43069	これが通常の状態です。
0009	44732	47581	(F えー)私達が(F えー)最近(F この)、
0010	49286	51159	地球に到達したとしましょう。
0011	53191	55790	(F え)一年前に地球が出来たとして、
0012	56005	67947	(F え)そうすると人間と言うのは、十分(P)なんです(F ね)。そして産業革命と言うのは十秒前に起こった{||ず}(P){||た}と言う事になります。
0013	69373	73077	(F え)これ、グラフを{||と}お見せします。こう言った様な形になります。
0014	73933	75510	(F えー)これは(F えー)
0015	77213	78003	あまり
0016	78598	81383	(F えー)これは奇妙な形をしていると思いますけれども、
0017	83304	88613	(F この)現在の異常の原因と言うのは何なんでしょうか。(F え)(F あの)テクノロジーと言う人もいるでしょう。
0018	89197	92641	テクノロジーが(F え)、(F この)人類の歴史の中で
0019	92991	96718	(F えー)蓄積されて行ってと言う事もそれも(P)、{||あず}確かです。
0020	96772	99636	そして(F えー)(F この)急速に{発展|はってん|はてん}していると言うのも、
0021	99936	103345	(F えー)生産性を上げていると言うのも確かだと思います。しかしながら、
0022	103679	105748	(F えー)(F この)究極の原因と言うのは、
0023	107654	108199	(F この)
0024	108499	109036	二つ{||ん}
0025	109209	112063	二人のこの人{||る}達を見て下さい。(F この)
0026	113600	115671	(F えー)左は(かんじー?)です。
0027	117411	121244	(F えー)(F このー)右は、(F えー)スーパーレボリューションに関わった人です。
0028	121933	122569	(F え)(F このー)
0029	122790	126000	{基本|きほん|きおん}的には同じです。(F えー)もちろん右側の方が
0030	126363	127832	{||お}大きいですが<H>、
0031	128948	130394	(F えー)(F この)見えない、
0032	131371	134576	この違いと言うのは、そこまで大きくない訳{です||でず}。
0033	137467	141090	私達の共通の(F えー)(F この)先祖がいて、
0034	141399	141726	(F え)
0035	141948	143790	(F あの)長期に渡って{||えず}
0036	144300	146628	進化して行くのに(F ま)時間が{||ある}
0037	148541	149577	かかる訳です。
0038	151918	158099	(F え)(F この)(かんじー?)から、(F その)大陸間断のミサイルを発明する様な人間との(F この)違い、
0039	158887	159623	と言うのは、
0040	161481	166609	(F え)(F この)マイナーな(F この)変化によって引き起こされていると{言え|いえ|ゆえ}ます。
0041	168175	168729	もし、
0042	170972	172705	(F え)(F この)考え方、
0043	175732	181054	この変化が沢山起こる事によって(F え)大きな変化が起こる訳です。
