0001	15405	17920	秘密を<H>話しますので。
0002	18175	19560	秘密を言うのは、
0003	19889	22935	(F んと){こんな||このほんだ}事は言っちゃいけない(F よ)と言う事を言う事です{||う}。
0004	23300	28865	秘密と言うのは、{パワーポイント||ぱーぼいんと}を使わせて頂きますが、私は<ＴＥＤ|テッド>に出てますので、
0005	29165	29795	どうしても。
0006	30555	34275	でもこんな事{を||}しなくても、ちゃんと押したら出て来るんです。
0007	37330	37795	(F あらま)。
0008	39330	39905	{||ん}じゃあ、
0009	42065	42513	じゃあ、
0010	43706	44631	ちょっと代わってよ。
0011	49735	50935	ビルゲイツいないの？
0012	52168	52948	代われ、代われ。
0013	57260	59335	{私|わたし|あたし}のスライドじゃないけど、(F まあ){良いか|いいか|いっか}。
0014	62060	63810	見て頂いております様に、
0015	64710	71585	地図です。地図<H>はとっても重要なデバイスです。これによって情報を提供する事が出来ます。
0016	71840	74910	人間の認知能力があったならば、
0017	75765	80020	こう言ったフォーミュラー、地図だと言う事が分かります。地図ですが、
0018	80280	85010	(F ん)こう言った{||ん}滅多に見ない物です。ちょっと時間の無駄でしょうか？
0019	85730	93350	月の<H>地図です(F ね)。素晴らしい{名前|なまえ|なまん}で、ソランクナ、デカナスフリガラスって言うのが凄く好きなんです。
0020	93735	104810	(F えー)フリゴロスって何なの、フリゴロスって{何|なに|なん}、名前がこんな{に||ん}重要{に||}なる、フリゴスンダ、{||月な}いつか{||ふ}月に行くでしょ。フリゴロスに住みたい？いや、そうじゃないでしょ。
0021	106010	111978	火星です。色んな名前が{散りばめられています|ちりばめられています|ちりばまれていります}。国際天文学連盟が
0022	112340	116625	(F あ)作った物です。ここでは何人もの人が(いたり?)まして、この
0023	116975	122850	天文学的な名前を付けてるのです。実際の彼らの本から名前を取って来ました。
0024	124510	128905	(F え)それでどう言う名前が{使われている|つかわれている|つかれてりんーの}のかと言う事{を||}見て見ます。ボロニスタ
0025	129095	132870	スラブ{||う}の(F んー)沼の{マーメイド||まーめい}です。
0026	133190	136265	マーメイドと言うのは、沼にいるんですか？
0027	137655	143100	ええ、マーメイド、沼から出て来た{のは||ねあは}、素晴らしいボナニスタが出たぞ。
0028	145280	147005	(F ん)ジャブランフラクタス。
0029	148735	152020	(F あー)これなんか、もう、発音{||す}(F ん){しにくくって||すにくくって}。
0030	153620	158230	子供達がクラクタスの勉強{を||}したのは、ラフラクタスがあるのが嫌。
0031	158950	163130	(F え)ガウフタフラクタスを覚えなきゃ、もう、人生やって行けないのか(F よー)。
0032	163733	164445	お母さん。
0033	166450	178190	ハイクリヨフラクタス、もうちょっとこれは言えます(F ね)。ハイクリヨフラクタス、{レオナルド||でおなるど}{||だく}{ディカプリオ||でっかぶりお}みたいな、十七音節から出来てるみたいです(F ね)。
0034	178460	185275	(F え)それからトキイクラクタスニカラグア、こちらの方は昆虫(F ん)です。
0035	185520	190085	(F えー){こう言った|こういった|こおるだ}天文学、惑星の話を{してる||してん}の、昆虫の話なんかしたい？
0036	191170	193650	{||え}{||え}(F あ)私、星{||ぬ}で<H>もう、
0037	193845	199965	(F う){||い}忙しいので、あなたは昆虫やって(F よ)、どうも{有難う|ありがとう|ありがと}御座います。昆虫(?)にも関係ない(F わよ)。
0038	200280	202450	モンキーとか、{||ず}そう言う物{||う}
0039	203003	204933	で、毛の生えてる物、やって(F よ)。
0040	205676	206316	それで、
0041	207530	212390	ここに住んでいる人々がこんな名前を付けられていた{||な}ならば気の毒だと思うんですが、
0042	212635	215915	(F え)火星{||ん}のヘレンポッキィカデップレシオ、
0043	216150	220575	(F え)こんな所(F ん)にそんなのがいるの？{||ん}デプレッシオ？
0044	220915	225330	アマゾネスのとこに行って、そしてまた{||ん}マップをやりますと。
0045	225580	230515	(F ん)じゃあ、{||ここに行くの}{ここ||こ}からここに行くには、{アマゾネス||あまぜねす}{||なまでぃは}
0046	230805	236010	(F ん)の方向としては、クリスオレアスの所に行って、それから{||あ}(F あー)
0047	237930	242540	非常に{||く}来る{名前|なまえ|ならまえ}ばっかり並んで、あっち曲がって、こっち曲がってと言う名前が
0048	242865	244580	(F ん)出てるんですけど<H>。
0049	245945	253885	(F え)それか、アマントからソースまで行くと言う形です。これがルールブックで、天文学<H>の連盟{||で}が{||ん}やっているのです。
0050	254135	256220	(F え)これがルールブックと言っています。
0051	256555	262590	こちらの{方|ほう|ほ}はフランス語喋らないでしょ。フランス語(F ん)でこう言う名前が付けられているのです(F よ)。
0052	263075	265880	この名前と言うのはツールです。まずは、
0053	266100	273485	シンプルでクリアで(F ん)曖昧でない物{||お}{||す}が(F い)(F い)(F え)必要だ、ジショヌラフラクタスなんて言うのがそう言う{物|もの|}なの？
0054	273650	277250	シンプルなの、もう{本当|ほんとう|ほんと}に{シンプル||しんぱる}、ジゥバーフラクタスだ(F よ)。
0055	277475	282325	シンプル、{||ん}ジュブランフラクタス、いや<H>、明確、(R えー)(R えー)何なの？
0056	282495	285470	バサチェックホカラリアン？、いや、明確(F よ)。
0057	286505	288720	(F え)また沼の(F お)方{に||ぬ}行って<H>、
0058	289670	290720	連れて来なくっちゃ。
0059	291978	294288	実際の文章{を||}見て頂きまして、
0060	294831	296676	ハイライトします。{||ん}誰でも
0061	297515	302485	名前を変える事が{||あ}{サジェスチョン||さぜすちょん}出来ますと言う風になっています。{||う}それで、(F この)
0062	302675	307610	惑星の皆さんに(F こ)何とかしてもらわなくちゃ{いけません||いげません}。実際の人の名前です、これ。
0063	308645	310785	名前を作{||う}った人々です。
0064	310985	315270	それから研究者の人です。もっとグループの人の名前が出ています。
0065	315775	316385	(F え)でも、
0066	317890	320715	名前を{||じ}やっていないでしょ。下の名前の方。
0067	321505	323550	どうも可笑しな人達ばかりだ。
0068	324560	327175	{この||ころ}名前{みたいな||みたいり}のはジュピターブランク？
0069	329180	334295	{||あ}{||あ}(F あ)これは、ガラミイタドラマンタンバアナ、これは{||ん}火星の名前？
0070	335345	340305	(F うん)でもこれは調査{||あ}資料だから。{||あ}それから、マッピングしている
0071	340980	344685	こう言った{||だ}{名前|なまえ|なまゆ}の人もいます。ユージンシューメーカー。
0072	345705	346895	小っちゃい頃で、
0073	347625	354900	{この||ころ}惑星の名前、天体地図を作りたいと言う{風|ふう|ふ}に{言い|いい|い}ました。お母さん、天体地図を作りたい。{||おわ}地図を<H>
0074	355170	362080	(F あ)(F ん)作るの、トロントの地図？いやいや、天体地図(F よ)と言って、いや、もう部屋へ{帰りなさい|かえりなさい|かえんなさい}と言う風に言われた様です。
0075	362660	367155	火星人、金星人、木星人と言う様になっています。
0076	367835	370850	こんな人がいないのに、人なんて、可笑しくないですか？
0077	373055	375230	ジョービア{||あ}{||あ}、そんなもんありません。
